User profile
id=1457150753, screenName=小米眯字, location=辽宁 大连, gender=f
Concern
2921989775, 3865682891, 3894904840, 3841963893, 1781320091, 3178584882, 3665532590, 3607367594, 3891195388, 1974725543, 3757816972, 3171556150, 2553772297, 2292638997, 3602441192, 3460279432, 2643889584, 3246814782, 3846697048, 3212320664, 3902038880, 3875226732, 3850688115, 3886347269, 3219623513, 3907919077, 3846746071, 3847023856, 3258729042, 1771811102, 3908039562, 3088941503, 3904540242, 3861614703, 3310090855, 2818484380, 3866953790, 3916358444, 3164651135, 3519674063, 3835318768, 3757232451, 3837478737, 3754118175, 3868403903, 3848893997, 3879775864, 3733407932, 3769358477, 3787309762, 3885041262, 1787794244, 3032015171, 3814485396, 3297559091, 2498344105, 2735805804, 3627152342, 3863669617, 3526290082, 3847094335, 3879783978, 3857072859, 3062626794, 2968174065, 2231386493, 2661908252, 3812737277, 3302929371, 2120753571, 2043111441, 2517942881, 1904761875, 3150564744, 3297187561, 3810451517, 3850366506, 3880080017, 3802336457, 3867704864, 3847242719, 1708002185, 2652171614, 2819543085, 3880487737, 1937273912, 2826852153, 1421190640, 3826282730, 3824427011, 1616015224, 3267091244, 3669148125, 1879241531, 1841567014, 1265926601, 2948298537, 2928917387, 3831845955, 2949607497, 2265865670, 1047755325, 3612388510, 3826273037, 2507710463, 3855770286, 3830144994, 3874009084, 2552840115, 2445839452, 2659624105, 3278148294, 3669135100, 3822865868, 3268337825, 2374725632, 2902765691, 1760668437, 1643185365, 1581619622, 2051991163, 3815933574, 1672044965, 1442810200, 1731279892, 1069863244, 1349199824, 1833965390, 2373671832, 2256451292, 2165694310, 1923858604, 2319353602, 2885494222, 1748145025, 3822920589, 2713484925, 1931523527, 2073091633, 1196235387, 2711705683, 1247368791, 2116126862, 1658724317, 2097806825, 3868035127, 3295028661, 1304194202, 1349836997, 2192275461, 2627985185, 3867507865, 3888404478, 3848352979, 3886876401, 2342423624, 2367513223, 1663380974, 2829526175, 1355393770, 2810575325, 3015129463, 3810255577, 2147483647, 2941069565, 1660171673, 2878439511, 3866673554, 3802396012, 3597887605, 3865423736, 1743757504, 3802906752, 2015632531, 3807705722, 3820828601, 3861673054, 3829442883, 3802875640, 3831820519, 3293640560, 3807701492, 3839328446, 3019704902, 3327280884, 3502145405, 1662766362, 3461548510, 1649005320, 1195403385, 2781706811, 1921677133, 1647497355, 1670071920, 1212812142, 1193491727, 3512233764, 1198920804, 1197161814, 1686326292, 1182391231, 1737694433, 1671342103, 1704116960, 1192329374, 3032408591, 2673709041, 1629427240, 3038413404, 3708064111, 2920154152, 2919631600, 1781387491, 3153134560, 3163915670, 3153086942, 1934183965, 3227575771, 1699493494, 1769732481, 2671109275, 1893711543, 2181597154, 1641561812, 1965022051, 1642909335, 3177862914, 3235530253, 2016713117, 2375086267, 1663072851, 3169521571, 3174462590, 3123679342, 3171786332, 1649173367, 1787920531, 
Follower
294801525, 3674324132, 3895253822, 1723884643, 5000178253, 3262000445, 3837478751, 2376166060, 3865682891, 3841963893, 3902038880, 3607367594, 2885494222, 3171556150, 3846697048, 3886347269, 3907919077, 3904540242, 3088941503, 1771811102, 2818484380, 3310090855, 3861614703, 3164651135, 3916358444, 3754118175, 3885041262, 3519674063, 3868403903, 3733407932, 3787309762, 3814485396, 1787794244, 3297559091, 3847094335, 2949607497, 2968174065, 3302929371, 3863669617, 2661908252, 1708002185, 2120753571, 3150564744, 1047755325, 3867704864, 3847242719, 3802336457, 3880080017, 2819543085, 2652171614, 3850366506, 3880487737, 1841567014, 3669148125, 2928917387, 2265865670, 3826273037, 3612388510, 2507710463, 3874009084, 2902765691, 2445839452, 3895297029, 2659624105, 2374725632, 2192275461, 2165694310, 3669135100, 2051991163, 2319353602, 1833965390, 1923858604, 1069863244, 2256451292, 2373671832, 2073091633, 2713484925, 1931523527, 2097806825, 2116126862, 3868035127, 2627985185, 3848352979, 3867507865, 3810255577, 3802396012, 3866673554, 3597887605, 3802906752, 3807705722, 3861673054, 3820828601, 3829442883, 3807701492, 3293640560, 3831820519, 3802875640, 3839328446, 3327280884, 3502145405, 1629427240, 2673709041, 
Status
1314我们一同走过！ 我在:http://t.cn/8kdcGZ9
你还能活回来吗？ 我在:http://t.cn/8kE46tN
我想你了 我在:http://t.cn/8kEUCZy
　　世事总不能万般如意，有舍才有得。 我在:http://t.cn/8k8Fc8R
分手的圣诞 我在:http://t.cn/8k8Fc8R
以后自己活的精彩些！ 我在:http://t.cn/8kY7Odu
留下美好的回忆吧！ 我在:http://t.cn/8kYhE4v
疾病可怕吗？ 我在:http://t.cn/8k0Wg8t
只要你冷了有人想给你衣服那个人才是你的真爱！ 我在:http://t.cn/8kSrkJ4
有些事我真是不想说，但是心里很难过，不过说与不说都一样，还是算啦吧，有什么用呢？ 我在:http://t.cn/8kSlylp
一个人的夜很美 我在:http://t.cn/8kxogVk
幸福＝什么也不知道 我在:http://t.cn/8kIcYYR
自己抱自己，告诉宝宝对不起，是自己没照顾好自己！ 我在:http://t.cn/8kIcYYR
多少眼泪都换不回过去快乐的我 我在:http://t.cn/8kIqru2
活着真不容易! 我在:http://t.cn/8kblnVj
什么是人生？我的人生是什么？ 我在:http://t.cn/8kIGYds
我很不开心 我在:http://t.cn/8kfN1ot
新版微博客户端，好听，好看，更好玩！自定义背景、封面；音、视频直接播放；好友圈好友消息不错过；信息流滑动速度提升；支持屏蔽广告微博；广场音乐、电影、美食等频道升级。[good]快试试一键听歌：http://t.cn/zH4S4xq 下载地址：http://t.cn/hKkeW
心里的寂寞谁能知道 我在:http://t.cn/8kblnVj
我想知道谁能为我取暧我冷 我在:http://t.cn/8kLYESt
会好起来的，相信自己！ 我在:http://t.cn/8kLWw6m
无能 我在:http://t.cn/8kLWw6m
是钱的问题吗？ 我在:http://t.cn/8kLWA1s
眼泪收回去！ 我在:http://t.cn/8kLWw6m
呼吸烟草 我在:http://t.cn/8kLOIk4
是该结束了吗？ 我在:http://t.cn/8kL0Esq
每个人都为了自己生活的好些而奋斗，我呢这几年为了什么？生活到底为了什么，我到底为了什么？ 我在:http://t.cn/8kLN7Ml
臭老公睡的呼呼的，我却睡不着了… 我在:http://t.cn/zRQ6Ypr
失眠中 我在:http://t.cn/zRQ6Ypr
微人脉隆重推出“加入微人脉送微博会员”活动，现在加入@微人脉，即可免费获得微博会员。共送出10万份微博会员，先到先得，快来免费领取吧。http://t.cn/zHCdBdD
最怕过节的我 我在:http://t.cn/zRTGYvA
第五天 我在:http://t.cn/zRlxpzZ
第三天 我在:http://t.cn/zRO9ECE
感谢临床陪同大哥回去！ 我在:http://t.cn/zRO5mQw
愿自己早日康复吧！ 我在:http://t.cn/zR0UppW
第二天 我在:http://t.cn/zR0U921
看看这天气 我在:http://t.cn/zRMD1i6
昨晚我梦见了我的辛福，可是与你无关！ 我在:http://t.cn/zRID7SH
剩菜的价值！ 我在:http://t.cn/zRIzOLz
流了泪也没用！ 我在:http://t.cn/zRf52OT
烟是我的伴！ 我在:http://t.cn/zRVYJKc
